scam,estimate,se,low,upp,estimate_annualized,low_annualized,upper_annualized,method
Non-Payment,0.026596813077921506,0.002529448088708331,0.021859840739608637,0.03203282886169734,0.013388026161207378,0.010990313869276958,0.01614677357936023,Direct
Advanced Fee,0.022608889745214574,0.002540527248898971,0.017894497109861258,0.028160919858662314,0.011369072780551992,0.008987637367656842,0.014181010458138021,Direct
Overpayment,0.010284590962362826,0.0018563534989810638,0.0069681676598353625,0.014617676056728923,0.005155585512167993,0.0034901744888991004,0.007335744602803285,Direct
Extortion,0.009324601273856916,0.002070111640248796,0.005712640112377518,0.014349309414989242,0.0046732201301207255,0.002860411031824217,0.007200578875566244,Direct
Banking / Credit Card,0.3352121895707458,0.019045719289414873,0.29793853402861253,0.37407916685622333,0.1846547906381898,0.16210891759645307,0.20884841329630344,Direct
Non-Delivery,0.07697411684868419,0.011288691851292543,0.05624512957090488,0.10231328877488266,0.0392576395561004,0.028529531880101322,0.05253669663405047,Direct
Banking / Credit Card (Lost Money),0.04800249220670644,0.008884209338640453,0.032077560370173556,0.0687220699729636,0.024296403720221127,0.016169506657866095,0.03497257550521582,Direct
