Cybercrime,Incidence,Degree Ratio,Visibility_ratio,Adjustment Factor
Banking / Credit Card,common,0.954898271268951,0.009654785132294116,108.46766219911564
Banking / Credit Card (Lost Money),common,0.891157255873851,0,Inf
Non-Delivery,common,1.229562163057421,0.005407337634470111,150.40629798751934
Non-Payment,rare,0.8581852415276763,0.020721696626486798,56.23330994714674
Overpayment,rare,1.0863254098097197,0.019667137434429566,46.80571773800367
Extortion,rare,2.3887277128009314,0,Inf
Advanced Fee,rare,1.674034659669851,0.016541986064172762,36.111697510348264
