scam,estimate,se,low,upp,estimate_annualized,low_annualized,upper_annualized,method
Non-Payment,0.0068701181854720576,0.0011136024520868523,0.00486129679005417,0.00942552653346318,0.0034409792618763646,0.002433609622925492,0.004723920981451135,Direct
Advanced Fee,0.005601381890883212,0.0013045224582903438,0.0033410038046075077,0.008802198763647073,0.002804623903060466,0.0016718995263168557,0.00441082707958651,Direct
Extortion,0.0023166051923646683,0.0011689003170976921,6.20427592282772e-4,0.005973831773124795,0.0011589742067883435,3.102619273731566e-4,0.002991390093909363,Direct
Overpayment,0.0010322727237513207,5.314185616906856e-4,2.670217355253125e-4,0.002710661497562193,5.16269629040611e-4,1.3351978152864596e-4,0.001356250456431396,Direct
Banking / Credit Card,0.22753841269894978,0.01631006033428149,0.19609092797772124,0.26144150291343704,0.12110206093025211,0.10339023425891758,0.14060573827458978,Direct
Non-Delivery,0.06307103802117339,0.010694047586956874,0.04369897641348682,0.08761413322441902,0.03204909113177301,0.02209355069796526,0.04481108320103455,Direct
Banking / Credit Card (Lost Money),0.021526554993720963,0.005341085306737184,0.012327077881552465,0.03477663036480039,0.010821833537416281,0.006182651530751593,0.01754217920808443,Direct
