scam,Mean,SE,q10,median,q90
Banking / Credit Card (Lost Money),3545.948601487476,3076.9702951092486,32.33526978829556,265.946150259224,1000
Advanced Fee,1659.488270020856,612.7409831916124,14.315703877961012,500,3000
Extortion,759.490527796339,364.4242125749811,56.65280844210133,300,1442.2478070167356
Non-Payment,419.06830623842734,190.4695853255752,13.659034557007377,100,700
Overpayment,376.29392751294483,161.46423160534732,35,88.01199571364518,854.265000402293
Non-Delivery,116.65796151651458,22.38162753865862,15,57.04950792063616,300
